Unnamed: 0,LOT,Casting_Pressure,Humidity,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Temperature,Short_Shot,ERROR
85,180102-021-0102,0.1838290060036624,-0.6508703557960498,2.5929398750044963,-0.7570202010350067,-1.3281443378864977,-0.5937932703491596,0,0
86,180102-021-0102,-1.6544610540325442,-0.8327183541744914,0.2200331674296675,0.4076262620957778,0.2681829913040068,0.3403284815786268,0,0
87,180102-021-0102,0.1838290060036624,2.316888977739848,-0.8585607905588925,1.5722727252265625,0.2681829913040068,-1.2967921145834933,0,0
88,180102-021-0102,0.1838290060036624,-0.8327183541744914,0.8671895422228005,-1.9216666641657911,1.864510320494512,0.3403284815786268,0,0
89,180102-021-0102,0.1838290060036624,2.644215374821026,0.4357519590273795,-0.7570202010350067,-0.6896134062102958,-1.5664355068925728,0,0
90,180102-021-0102,0.1838290060036624,-0.6290485959906378,-0.4271232073634684,1.5722727252265625,1.864510320494512,-0.5456426645796946,0,0
91,180102-021-0102,0.1838290060036624,-0.7818009146285215,0.0043143758319555,-0.7570202010350067,0.2681829913040068,0.359588723886406,0,0
92,180102-021-0102,2.022119066039869,-0.5999529162501057,-1.2899983737543164,-0.7570202010350067,-0.6896134062102958,1.3226008392759123,0,0
93,180102-021-0102,-1.6544610540325442,0.8475571508421778,-0.8585607905588925,0.4076262620957778,0.2681829913040068,-0.6034233915030663,0,0
94,180102-021-0102,0.1838290060036624,-0.0689567609850986,1.2986271254182244,0.4076262620957778,0.2681829913040068,-0.5841631491952871,0,0
95,180102-021-0102,2.022119066039869,-0.432652757741956,-1.2899983737543164,0.4076262620957778,-0.6896134062102958,0.3884790873480919,0,0
96,180102-021-0102,0.1838290060036624,-0.3089961188446044,0.8671895422228005,-0.7570202010350067,-1.3281443378864977,0.359588723886406,0,0
97,180102-021-0102,2.022119066039869,-0.2508047593635144,-0.8585607905588925,1.5722727252265625,-1.3281443378864977,1.3226008392759123,0,0
98,180102-021-0102,0.1838290060036624,-0.7818009146285215,-0.4271232073634684,-1.9216666641657911,1.2259793888183097,0.359588723886406,0,0
99,180102-021-0102,0.1838290060036624,-0.3380917985851622,-1.0742795821566045,-0.1746969694696144,1.2259793888183097,1.3226008392759123,0,0
100,180102-021-0103,0.3741657386774999,2.241175933903259,-0.9069271971601154,1.6935961083054003,-0.8220845441240373,-0.8203589185098109,1,0
101,180102-021-0103,0.3741657386774999,2.241175933903259,0.426789269251811,-0.7030021581645115,0.4465644437216923,-0.8203589185098109,1,0
102,180102-021-0103,-1.4966629547095744,-1.052295049762055,0.8713614247224531,0.8947300194820964,-0.3146249489857454,0.6003068578335976,1,0
103,180102-021-0103,0.3741657386774999,-0.3749585644421978,0.8713614247224531,0.0958639306587924,1.20775383642913,-1.0621743698022763,1,0
104,180102-021-0103,2.2449944320645745,-0.3936008530289832,0.8713614247224531,0.8947300194820964,0.4465644437216923,-0.9563801098618429,1,0
105,180102-021-0103,0.3741657386774999,0.1532396121833535,-0.4623550416894732,0.8947300194820964,-0.8220845441240373,0.6003068578335976,1,0
106,180102-021-0103,0.3741657386774999,-1.2387179356299094,0.426789269251811,0.8947300194820964,-1.583273936831475,0.6154203235393968,1,0
107,180102-021-0103,-1.4966629547095744,-1.2387179356299094,0.8713614247224531,0.0958639306587924,0.4465644437216923,0.6154203235393968,1,0
108,180102-021-0103,0.3741657386774999,0.5695840572882142,-1.7960715081013996,-1.1024352025761637,1.20775383642913,0.6003068578335976,1,0
109,180102-021-0103,0.3741657386774999,-0.0021127927065105,-0.0177828862188311,0.8947300194820964,-1.0758143416931831,-2.301478557676309,1,0
110,180102-021-0103,-1.4966629547095744,1.1909936768477147,-0.9069271971601154,-1.1024352025761637,-0.3146249489857454,0.6003068578335976,1,0
111,180102-021-0103,-1.4966629547095744,0.1532396121833535,-0.9069271971601154,0.0958639306587924,1.20775383642913,0.6003068578335976,1,0
