,LOT,Date,Equipment,Die_Number,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Spray_Time_1,Spray_Time_2,Humidity,Temperature,Casting_Pressure,Pressure_Increase_Time,Short_Shot,Ejection_Pin_Burr,Soldering,Shrinkage,Stain,Corepin_Soldering,Crack
67,180102-021-0102,2018-01-02,021,0102,0.098,0.23,0.371,0.2,0.3,20.339,17.218,680,0.043,3,0,0,0,0,0,0
68,180102-021-0102,2018-01-02,021,0102,0.1,0.228,0.371,0.2,0.3,20.402,17.379,680,0.041,3,0,0,0,0,0,0
69,180102-021-0102,2018-01-02,021,0102,0.096,0.227,0.376,0.2,0.3,20.51,17.203,679,0.041,3,0,0,0,0,0,0
70,180102-021-0102,2018-01-02,021,0102,0.102,0.226,0.371,0.2,0.3,20.715,17.105,680,0.041,3,0,0,0,0,0,0
71,180102-021-0102,2018-01-02,021,0102,0.1,0.228,0.373,0.2,0.3,20.715,17.105,679,0.039,3,0,0,0,0,0,0
72,180102-021-0102,2018-01-02,021,0102,0.098,0.23,0.373,0.2,0.3,20.483,17.201,680,0.041,3,0,0,0,0,0,0
73,180102-021-0102,2018-01-02,021,0102,0.098,0.228,0.376,0.2,0.3,20.477,17.201,680,0.043,3,0,0,0,0,0,0
74,180102-021-0102,2018-01-02,021,0102,0.102,0.229,0.373,0.2,0.3,20.619,17.103,679,0.043,3,0,0,0,0,0,0
75,180102-021-0102,2018-01-02,021,0102,0.108,0.228,0.371,0.2,0.3,20.715,17.105,679,0.043,3,0,0,0,0,0,0
76,180102-021-0102,2018-01-02,021,0102,0.094,0.232,0.376,0.2,0.3,20.509,17.401,680,0.043,3,0,0,0,0,0,0
77,180102-021-0102,2018-01-02,021,0102,0.1,0.23,0.373,0.2,0.3,20.397,17.293,680,0.041,3,0,0,0,0,0,0
78,180102-021-0102,2018-01-02,021,0102,0.094,0.23,0.376,0.2,0.3,20.43,17.401,681,0.041,3,0,0,0,0,0,0
79,180102-021-0102,2018-01-02,021,0102,0.094,0.228,0.376,0.2,0.3,20.359,17.301,680,0.041,3,0,0,0,0,0,0
80,180102-021-0102,2018-01-02,021,0102,0.108,0.227,0.373,0.2,0.3,20.51,17.203,679,0.041,3,0,0,0,0,0,0
81,180102-021-0102,2018-01-02,021,0102,0.094,0.23,0.373,0.2,0.3,20.454,17.401,680,0.041,3,0,0,0,0,0,0
82,180102-021-0102,2018-01-02,021,0102,0.096,0.23,0.37,0.2,0.3,20.43,17.401,679,0.041,3,0,0,0,0,0,0
83,180102-021-0102,2018-01-02,021,0102,0.094,0.23,0.373,0.2,0.3,20.401,17.318,680,0.041,3,0,0,0,0,0,0
84,180102-021-0102,2018-01-02,021,0102,0.096,0.23,0.379,0.2,0.3,20.401,17.318,680,0.041,3,0,0,0,0,0,0
85,180102-021-0102,2018-01-02,021,0102,0.11,0.228,0.371,0.2,0.3,20.399,17.202,680,0.045,3,0,0,0,0,0,0
86,180102-021-0102,2018-01-02,021,0102,0.099,0.23,0.376,0.2,0.3,20.374,17.299,679,0.045,3,0,0,0,0,0,0
87,180102-021-0102,2018-01-02,021,0102,0.094,0.232,0.376,0.2,0.3,20.807,17.129,680,0.041,3,0,0,0,0,0,0
88,180102-021-0102,2018-01-02,021,0102,0.102,0.226,0.381,0.2,0.3,20.374,17.299,680,0.041,3,0,0,0,0,0,0
89,180102-021-0102,2018-01-02,021,0102,0.1,0.228,0.373,0.2,0.3,20.852,17.101,680,0.041,3,0,0,0,0,0,0
90,180102-021-0102,2018-01-02,021,0102,0.096,0.232,0.381,0.2,0.3,20.402,17.207,680,0.041,3,0,0,0,0,0,0
91,180102-021-0102,2018-01-02,021,0102,0.098,0.228,0.376,0.2,0.3,20.381,17.301,680,0.042,3,0,0,0,0,0,0
92,180102-021-0102,2018-01-02,021,0102,0.092,0.228,0.373,0.2,0.3,20.406,17.401,681,0.043,3,0,0,0,0,0,0
93,180102-021-0102,2018-01-02,021,0102,0.094,0.23,0.376,0.2,0.3,20.605,17.201,679,0.043,3,0,0,0,0,0,0
94,180102-021-0102,2018-01-02,021,0102,0.104,0.23,0.376,0.2,0.3,20.479,17.203,680,0.045,3,0,0,0,0,0,0
95,180102-021-0102,2018-01-02,021,0102,0.092,0.23,0.373,0.2,0.3,20.429,17.304,681,0.043,3,0,0,0,0,0,0
96,180102-021-0102,2018-01-02,021,0102,0.102,0.228,0.371,0.2,0.3,20.446,17.301,680,0.041,3,0,0,0,0,0,0
97,180102-021-0102,2018-01-02,021,0102,0.094,0.232,0.371,0.2,0.3,20.454,17.401,681,0.041,3,0,0,0,0,0,0
98,180102-021-0102,2018-01-02,021,0102,0.096,0.226,0.379,0.2,0.3,20.381,17.301,680,0.044,3,0,0,0,0,0,0
99,180102-021-0102,2018-01-02,021,0102,0.093,0.229,0.379,0.2,0.3,20.442,17.401,680,0.041,3,0,0,0,0,0,0
100,180102-021-0103,2018-01-02,021,0103,0.09,0.234,0.371,0.2,0.3,21.326,17.307,679,0.041,5,0,0,0,0,0,0
101,180102-021-0103,2018-01-02,021,0103,0.093,0.228,0.376,0.2,0.3,21.326,17.307,679,0.041,5,0,0,0,0,0,0
102,180102-021-0103,2018-01-02,021,0103,0.094,0.232,0.373,0.2,0.3,20.796,17.401,678,0.043,5,0,0,0,0,0,0
103,180102-021-0103,2018-01-02,021,0103,0.094,0.23,0.379,0.2,0.3,20.905,17.291,679,0.041,5,0,0,0,0,0,0
104,180102-021-0103,2018-01-02,021,0103,0.094,0.232,0.376,0.2,0.3,20.902,17.298,680,0.045,5,0,0,0,0,0,0
105,180102-021-0103,2018-01-02,021,0103,0.091,0.232,0.371,0.2,0.3,20.99,17.401,679,0.045,5,0,0,0,0,0,0
106,180102-021-0103,2018-01-02,021,0103,0.093,0.232,0.368,0.2,0.3,20.766,17.402,679,0.045,5,0,0,0,0,0,0
107,180102-021-0103,2018-01-02,021,0103,0.094,0.23,0.376,0.2,0.3,20.766,17.402,678,0.043,5,0,0,0,0,0,0
108,180102-021-0103,2018-01-02,021,0103,0.088,0.227,0.379,0.2,0.3,21.057,17.401,679,0.041,5,0,0,0,0,0,0
109,180102-021-0103,2018-01-02,021,0103,0.092,0.232,0.37,0.2,0.3,20.965,17.209,679,0.041,5,0,0,0,0,0,0
110,180102-021-0103,2018-01-02,021,0103,0.09,0.227,0.373,0.2,0.3,21.157,17.401,678,0.041,5,0,0,0,0,0,0
111,180102-021-0103,2018-01-02,021,0103,0.09,0.23,0.379,0.2,0.3,20.99,17.401,678,0.045,5,0,0,0,0,0,0
112,180102-021-0103,2018-01-02,021,0103,0.094,0.23,0.376,0.2,0.3,20.833,17.357,678,0.043,5,0,0,0,0,0,0
113,180102-021-0103,2018-01-02,021,0103,0.093,0.232,0.379,0.2,0.3,21.281,17.35,679,0.041,5,0,0,0,0,0,0
114,180102-021-0103,2018-01-02,021,0103,0.092,0.232,0.368,0.2,0.3,21.099,17.401,679,0.043,5,0,0,0,0,0,0
115,180102-021-0103,2018-01-02,021,0103,0.093,0.228,0.373,0.2,0.3,20.733,17.398,678,0.043,5,0,0,0,0,0,0
116,180102-021-0103,2018-01-02,021,0103,0.093,0.23,0.368,0.2,0.3,20.776,17.394,679,0.042,5,0,0,0,0,0,0
117,180102-021-0103,2018-01-02,021,0103,0.093,0.23,0.368,0.2,0.3,21.094,17.401,679,0.045,5,0,0,0,0,0,0
118,180102-021-0103,2018-01-02,021,0103,0.091,0.224,0.373,0.2,0.3,21.098,17.401,679,0.042,5,0,0,0,0,0,0
119,180102-021-0103,2018-01-02,021,0103,0.096,0.234,0.376,0.2,0.3,20.878,17.401,679,0.045,5,0,0,0,0,0,0
120,180102-021-0103,2018-01-02,021,0103,0.09,0.23,0.376,0.2,0.3,20.905,17.291,679,0.044,5,0,0,0,0,0,0
121,180102-021-0103,2018-01-02,021,0103,0.094,0.232,0.373,0.2,0.3,20.796,17.401,678,0.043,5,0,0,0,0,0,0
122,180102-021-0103,2018-01-02,021,0103,0.09,0.228,0.373,0.2,0.3,21.099,17.401,679,0.041,5,0,0,0,0,0,0
123,180102-021-0103,2018-01-02,021,0103,0.091,0.224,0.376,0.2,0.3,21.099,17.401,678,0.043,5,0,0,0,0,0,0
124,180102-021-0103,2018-01-02,021,0103,0.091,0.23,0.373,0.2,0.3,20.91,17.207,679,0.043,5,0,0,0,0,0,0
125,180102-021-0103,2018-01-02,021,0103,0.091,0.23,0.373,0.2,0.3,20.965,17.209,679,0.042,5,0,0,0,0,0,0
