Unnamed: 0,LOT,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Humidity,Temperature,Casting_Pressure,Short_Shot,ERROR
17,180102-021-0101,0.9166666666666666,0.6666666666666666,0.6333333333333333,0.7038031319910518,0.6993699369936994,0.9946949602122016,0,0
18,180102-021-0101,0.9166666666666666,0.6666666666666666,0.6333333333333333,0.7145413870246077,0.4653465346534653,1.0,0,0
19,180102-021-0101,0.5833333333333333,0.7777777777777778,0.3666666666666666,0.6026845637583884,0.2799279927992801,0.053050397877984,0,0
20,180102-021-0101,0.9166666666666666,0.8888888888888888,0.9,0.9185682326621916,0.9423942394239438,1.0,0,0
21,180102-021-0101,0.8541666666666669,0.5555555555555556,0.5333333333333333,0.6523489932885901,0.3690369036903695,0.9946949602122016,0,0
22,180102-021-0101,0.8333333333333335,0.4444444444444444,0.3666666666666666,0.3060402684563748,0.2160216021602164,0.9946949602122016,0,0
23,180102-021-0101,0.8750000000000002,0.7222222222222222,0.6333333333333333,0.7176733780760625,0.415841584158416,0.9946949602122016,0,0
24,180102-021-0101,0.2499999999999999,0.5555555555555556,0.3666666666666666,0.6362416107382555,0.3258325832583262,0.9946949602122016,0,0
25,180102-021-0101,0.8958333333333335,0.6666666666666666,0.3666666666666666,0.6362416107382555,0.3645364536453643,0.9973474801061007,0,0
26,180102-021-0101,0.9166666666666666,1.0,0.9,0.9337807606263984,0.9981998199819992,0.9973474801061007,0,0
27,180102-021-0101,0.9583333333333331,1.0,0.8,0.7700223713646535,0.7299729972997306,0.9973474801061007,0,0
28,180102-021-0101,0.7291666666666667,0.8333333333333334,0.3666666666666666,0.6899328859060395,0.3699369936993699,0.9920424403183024,0,0
29,180102-021-0101,0.8541666666666669,0.8333333333333334,0.4666666666666667,0.6348993288590608,0.5598559855985603,0.9973474801061007,0,0
30,180102-021-0101,0.4583333333333334,0.1111111111111111,0.0,0.0,0.0,0.0,0,0
31,180102-021-0101,0.5416666666666669,0.6666666666666666,0.6333333333333333,0.9324384787472036,0.8784878487848785,0.9973474801061007,0,0
32,180102-021-0101,0.4166666666666667,0.0,0.1,0.1042505592841166,0.113411341134113,0.9920424403183024,0,0
33,180102-021-0101,0.4166666666666667,0.2777777777777778,0.3666666666666666,0.6026845637583884,0.2799279927992801,0.0557029177718832,0,0
34,180102-021-0101,0.9583333333333331,1.0,0.8,0.9861297539149894,0.906390639063907,0.9973474801061007,0,0
35,180102-021-0101,0.7083333333333334,0.5555555555555556,0.4666666666666667,0.6523489932885901,0.3690369036903695,0.9973474801061007,0,0
36,180102-021-0101,0.7916666666666667,0.8888888888888888,0.5333333333333333,0.9185682326621916,0.9423942394239438,0.9973474801061007,0,0
37,180102-021-0101,1.0,1.0,0.7333333333333333,0.7677852348993279,0.7290729072907303,0.9973474801061007,0,0
38,180102-021-0101,1.0,0.8888888888888888,1.0,1.0,0.9090909090909098,0.9973474801061007,0,0
39,180102-021-0101,0.9166666666666666,1.0,0.8,0.947651006711409,1.0,0.9973474801061007,0,0
40,180102-021-0101,0.375,0.7222222222222222,0.9,0.882774049217002,0.9918991899189932,1.0,0,0
41,180102-021-0101,0.0833333333333334,0.4444444444444444,0.5333333333333333,0.6523489932885901,0.3690369036903695,0.9946949602122016,0,0
42,180102-021-0101,0.3958333333333333,0.3888888888888889,0.2,0.0836689038031309,0.0990099009900986,0.9946949602122016,0,0
43,180102-021-0101,0.9583333333333331,0.6111111111111112,0.6333333333333333,0.7700223713646535,0.7299729972997306,0.9973474801061007,0,0
44,180102-021-0101,0.5416666666666669,0.7222222222222222,0.4666666666666667,0.7181208053691279,0.5256525652565258,1.0,0,0
45,180102-021-0101,0.5833333333333333,0.5555555555555556,0.4666666666666667,0.1418344519015661,0.1800180018001795,0.9946949602122016,0,0
46,180102-021-0101,0.8333333333333335,1.0,0.7333333333333333,0.9861297539149894,0.906390639063907,0.9973474801061007,0,0
47,180102-021-0101,0.0,0.2777777777777778,0.3666666666666666,0.3060402684563748,0.2160216021602164,0.9973474801061007,0,0
48,180102-021-0101,0.7916666666666667,0.8888888888888888,0.7333333333333333,0.8223713646532429,0.7434743474347447,0.9973474801061007,0,0
49,180102-021-0101,0.625,0.8333333333333334,0.5333333333333333,0.882774049217002,0.9918991899189932,0.9973474801061007,0,0
50,180102-021-0102,0.0555555555555556,0.0,0.8181818181818182,0.2007797270955189,1.0,0.5,0,0
